phylum,scientific_name,taxon_id_parent,n_square_1980_1999,n_square_2000_2019,n_square_tot_1980_1999,n_square_tot_2000_2019,ell_l,ell_n,ell_f,ell_r,ell_t,substrate,weight,raw_residual,raw_residual_se,raw_residual_q2.5,raw_residual_q97.5,raw_residual_fixedonly,raw_residual_fixedonly_se,raw_residual_fixedonly_q2.5,raw_residual_fixedonly_q97.5
Bryophyta,Gyroweisia tenuis (Hedw.) Schimp.,42,21,15,227,227,1,4,6,7,6,"rock, hard",0.3333333333333333,-18.168201804900647,1.754224753928849,-21.744193273797876,-14.751445499569556,-14.191946324534731,4.19949859721113,-23.14927157473707,-6.766632345789097
Bryophyta,Gyroweisia tenuis (Hedw.) Schimp.,42,21,15,227,227,1,4,6,7,6,"rock, soft",0.3333333333333333,-14.657758627676252,2.274871859771403,-19.23596370452556,-10.13937585976318,-14.191946324534731,4.19949859721113,-23.14927157473707,-6.766632345789097
Bryophyta,Gyroweisia tenuis (Hedw.) Schimp.,42,21,15,227,227,1,4,6,7,6,artificial stone,0.3333333333333333,-15.079483434415646,1.6531544429256257,-18.384988522568296,-11.889122112350183,-14.191946324534731,4.19949859721113,-23.14927157473707,-6.766632345789097
Bryophyta,Hamatocaulis vernicosus (Mitt.) Hedenäs,46,1,3,227,227,8,2,9,5,2,mineral soil,1,1.3909998316863312,0.09436399703474241,1.211379090342751,1.5823121746553488,1.1894686249103488,0.323698135154868,0.4905352171365302,1.7359340535930572
Bryophyta,Hennediella heimii (Hedw.) R.H.Zander,58,3,4,227,227,9,6,7,7,5,gravel or sand,0.3333333333333333,-0.3411131174729922,0.2565880164335784,-0.8436642070098324,0.1680061180487201,-0.6109094528931153,0.800650171328461,-2.3515233938256155,0.734278776037746
Bryophyta,Hennediella heimii (Hedw.) R.H.Zander,58,3,4,227,227,9,6,7,7,5,mineral soil,0.3333333333333333,-0.03392562406638574,0.1929200500857186,-0.3988436517108426,0.3458786733696853,-0.6109094528931153,0.800650171328461,-2.3515233938256155,0.734278776037746
Bryophyta,Hennediella heimii (Hedw.) R.H.Zander,58,3,4,227,227,9,6,7,7,5,soil on rock,0.3333333333333333,-0.7056446979743853,0.3696522610970892,-1.4133124759392846,0.013598813068113034,-0.6109094528931153,0.800650171328461,-2.3515233938256155,0.734278776037746
Bryophyta,Herzogiella seligeri (Brid.) Z.Iwats.,60,41,92,227,227,4,3,6,3,4,decorticated wood,1,34.60553795502188,2.0007458329365884,30.85561711751297,38.608528174955,41.82643218567104,6.263818695788528,28.443046255554542,53.105015561391085
Bryophyta,Homalia trichomanoides (Hedw.) Brid.,65,27,44,227,227,5,5,6,7,3,epiphytic on living wood,0.3333333333333333,-12.16049555007096,1.5525676489993228,-15.228742449364319,-9.164422090949712,12.044511365595564,4.487339726235921,2.4909275694423205,20.043106814541986
Bryophyta,Homalia trichomanoides (Hedw.) Brid.,65,27,44,227,227,5,5,6,7,3,"rock, hard",0.3333333333333333,7.725839355096542,1.5139498736188006,4.804453642903582,10.721751453716303,12.044511365595564,4.487339726235921,2.4909275694423205,20.043106814541986
