id,scientific_name,rank,kingdom,phylum,class,order,family,genus
42,Gyroweisia tenuis (Hedw.) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Gyroweisia
44,Habrodon perpusillus (De Not.) Lindb.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Habrodontaceae,Habrodon
46,Hamatocaulis vernicosus (Mitt.) Hedenäs,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Calliergonaceae,Hamatocaulis
53,Hedwigia ciliata (Hedw.) P.Beauv.,SPECIES,Plantae,Bryophyta,Bryopsida,Hedwigiales,Grimmiaceae,Hedwigia
54,Hedwigia stellata Hedenäs,SPECIES,Plantae,Bryophyta,Bryopsida,Hedwigiales,Grimmiaceae,Hedwigia
58,Hennediella heimii (Hedw.) R.H.Zander,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Hennediella
60,Herzogiella seligeri (Brid.) Z.Iwats.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Plagiotheciaceae,Herzogiella
65,Homalia trichomanoides (Hedw.) Brid.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Neckeraceae,Homalia
68,Pallavicinia lyellii (Hook.) Gray,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Pallaviciniales,Pallaviciniacea,Pallavicinia
77,Apopellia endiviifolia (Dicks.) Nebel & D.Quandt,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Pelliales,Pelliacaea,Pellia
78,Pellia epiphylla (L.) Corda,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Pelliales,Pelliaceae,Pellia
79,Pellia neesiana (Gottsche) Limpr.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Pelliales,Pelliaceae,Pellia
81,Phaeoceros carolinianus (Michx.) Prosk.,SPECIES,Plantae,Anthocerotophyta,Anthocerotopsida,Notothyladales,Notothyladaceae,Phaeoceros
84,Philonotis capillaris Lindb.,SPECIES,Plantae,Bryophyta,Bryopsida,Bartramiales,Bartramiaceae,Philonotis
85,Philonotis caespitosa Jur.,SPECIES,Plantae,Bryophyta,Bryopsida,Bartramiales,Bartramiaceae,Philonotis
86,Philonotis calcarea (Bruch & Schimp.) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Bartramiales,Bartramiaceae,Philonotis
